Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
CQ 101,Trevue Farm,Radnor,,,Redruth,TR164BG,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Cornwall,England
CQ 251,Callestick Farm,Ice Cream Factory,Callestick Farm,,Callestick Truro,TR4 9LL,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 253,Fresh From Cornwall Ltd,Factory,,,Newham Truro,TR1 2ST,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 257,Earl,Primrose Cottage,Chapel North,,St Agnes ,TR5 0NR,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 259,Goon Farm,Goon Farm,Goongumpas,"Crofthandy, St Day",Redruth,TR16 5JL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 261,Mary's Pasty's,St Austell Road,,,Probus,TR2 4PY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 262,Country House Foods,C/O Hundred House Hotel,Ruan Highlanes,,Nr Truro,TR2 5JR,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,PP (Processing Plant),EPC (Packing Centre),,,,,,"Section: IX (PP), Section: V (MP), Section: VI (PP), Section: X (EPC)",,,Cornwall,England
CQ 265,Trelie,Hornick Hill,High Street,,St Austell,TR26 7TR,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 266,St.Merryn Foods,Unit 2,Lighterage Hill,Newham,Truro,TR1 2XR,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 269,J C Hayes,Flat 2 Newton Croft,,Newton Road,St Mawes,TR2 5BS,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 270,W D & L Radmore,Resparveth Farm,Grampound Road,,Truro,TR2 4EF,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 272,Harry's Hens,Higher Pennace Farm,Grampound Road,,Truro,TR2 4EY,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 273,EA and AR Thomas,Albany Farm,Sevenmilestone,,St Agnes,TR50PF,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 402,Ocean Fish Ltd,Unit 2a/b,Victoria Business Park,Roche,St Austell,PL26 8LX,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 403,Flying Fish Seafood,Unit A,Moorland Road Industrial Estate,Indian Queens,St Columb,TR9 6JP,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 406,St Ewe Free Farm Eggs,Ventonwyn Farm,Tregony,,Truro,TR2 5SH ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 407,Cornish Premier Pasties Co Ltd,4-5 Hurling Road,St Columb Major Business Park,,St Columb,TR9 6SX,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 408,Wings of St Mawes,Unit 4a Indian Queens Ind Estate,Warren Road,Indian Queens,St Columb,TR9 6TL,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 414,The Little Cornish Curry Co Ltd,Old Coach Road,,,St Austell,PL26 8LJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 415,Crantock Bakery,,,,St Columb,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: V (MP), Section: VI (PP), Section: VIII (PP)",,,Cornwall,England
CQ 418,Arla Foods,Trevarrian Creamery,Trevarrian,,Newquay,TR8 4AH,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 419,Niles Bakery,Morven Road,,,St Austell,PL25 4PP,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,PP (Processing Plant),,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP), Section: X (PP)",,,Cornwall,England
CQ 420,Martins Bakery,Clifden Road,,,St Austell,PL25 4PA,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,PP (Processing Plant),,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP), Section: X (PP)",,,Cornwall,England
CQ 421,The Duchy Smoked Fish Company Ltd,The Smokehouse,The Causeway,off Par Green,Par,PL24 2AF,,,MP (Meat Preparation Establishment),PP (Processing Plant),,PP (Processing Plant),PP (Processing Plant),,,,,,,"Section: IX (PP), Section: V (MP), Section: VI (PP), Section: VIII (PP)",,,Cornwall,England
CQ 424,Hanson Fine Foods,2 Wheal Blencowe,Trelion,Grampound Road,Truro,TR2 4ES,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 425,Rosedown Eggs,Rosedowns,St Wenn,,Bodmin,PL30 5PL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 428,Two Brothers Foods Limited,Newquay Road,St Columb Road,,St Columb,TR9 6PZ,,,,,,,,,,,,,,Section: 0 (CS),,,Cornwall,England
CQ 429,J C Hayes Fisherman,4 North Hill Park,,,St Austell,PL25 4BJ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 501,Dairy Crest Davidstow Ltd.,Davidstow Creamery,Davidstow,,Camelford,PL32 9XW,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 504,Trewithen Farm,,,,Bodmin,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 506,Whalesborough Farm,Norton Barton Farm,Launcells,,Bude,EX23 9LG,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 508,"Kensey Foods,",Pennygillam Industrial Estate,,,Launceston,PL15 7AF,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 509,Miss B A Lake,,,,Launceston,,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 511,Ray Davies Foods,Unit 3 Collop and Hughes Yard,Eddystone Road,,Wadebridge,PL27 7AL,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 512,A.A Quality Meats,Trecerus Industrial Estate,,,Padstow,PL28 8RW,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MM), Section: V (MP), Section: 0 (CS)",,,Cornwall,England
CQ 513,Tulip Ltd,Newtons Margate,,,Bodmin,PL31 1HF,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: VI (PP), Section: V (MP)",,,Cornwall,England
CQ 514,Tregida Smokehouse,Trelash,Warbstow,,Launceston,PL15 8RL,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Cornwall,England
CQ 514,Tregida Smokehouse,Trelash,Warbstow,,Launceston,PL15 8RL,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Cornwall,England
CQ 515,Proper Cornish Pasty Co,Western House,Lucknow Road,,Bodmin,PL31 1EY,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: 0 (CS), Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 516,Deli Farm Foods,Deli Bungalow,,,Delabole,PL33 9BZ,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: VI (PP), Section: V (MP)",,,Cornwall,England
CQ 517,Polmorla Pasties,Kings Hill Industrial Estate,,,Bude,EX23 8QN,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 519,Hillcrest Bakery,,,,Holsworthy,,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 520,Malcolm Barnecutt Bakery ,Unit 4C,Carminnow Road Industrial Estate,,Bodmin,PL31 1EP,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 521,Norton Barton Farm ,Norton Barton ,Launcells,,Bude,EX23 9LG,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 523,M. Barnecutts,Unit 1a Carminnow Road Industrial Estate,,,Bodmin,PL31 1EP,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 524,Patisserie Express Ltd,Unit D,Pipers Close,Pennygilliam Industrial Estate,Lauceston,PL17 7PJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 526,Rock Shellfish,Porthilly Farmhouse,,,Rock,PL27 6JX,,,,,PC (Purification Centre),PP (Processing Plant),,,,,,,,"Section: VII (PC), Section: VIII (PP)",,,Cornwall,England
CQ 528,Windrush Farm,Fosters Lane,,,Tintagel,PL34 0BU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 528,Windrush Farm,Fosters Lane,,,Tintagel,PL34 0BU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 531,South Penlan Farm,Pounstock,,,Bude,EX23 0EE,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 532,Tartars Farm,Port Gaverne,,,Port Isaac,PL29 3SJ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 533,Little Overwood,Langore,,,Launceston,PL15 8LD ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 534,Greenamor Free Range Eggs,Greenamor Park,Week St Mary,,Holsworthy,EX22 6XG,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 535,Trekennick Farm ,Alternum,,,Launceston,PL15 7SL,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 539,Barnett Fare,Unit 30,Normandy Way,,Bodmin,PL31 1EX,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 540,Malcolm Barnecutt Sandwich Unit,4b Carminow Road Industrial Est,,,Bodmin,PL31 1EP,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 541,Atlantic Eggs,Lower Pigston Farm,Launcells,,Bude,EX23 9LQ,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 542,Cornish Patisserie,Unit D Pipers Court,Pipers Close,Pennygillam Industrial Estate,Launceston,PL15 7PJ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 543,Fish For Thought,Unit 1,Callywith Gate Business Park,Launceston Road,Bodmin,PL23 1ET,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 544,S P & D A Ovens,New Farm,Wothyvale,,Camelford,PL32 9UA,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 544,S P & D A Ovens,New Farm,Wothyvale,,Camelford,PL32 9UA,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 546,The Little Gluten Free Pasty Pie Company,Unit 7b,Palmers Way,Trenant Industrial Estate,Wadebridge,PL27 6HB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 547,Camel Fish Ltd,Treglyn,St Minver,,Wadebridge,PL27 6RG,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 549,Chough Bakery LLP,Unit 1 C & D,Trecerus Industrial Estate,,Padstow,PL28 8RW,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 550,D.N and W.S.Soper,,,,Launceston,,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 553,Perran Seafoods,Unit 11,Moorland Road Industrial Estate,Indian Queens,St Columb,TR9 6JP,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 554,Padstow Shellfish Co Ltd,Unit 8 Palmers Way,Trenant Ind Est ,,Wadebridge ,PL27 6HB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 555,Barnett Fare,5c Normandy Way,,,Bodmin,PL31 1EU,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 556,Cornish Liquid Egg Ltd,Lower Pigsdon Farm,Lower Pigsdon,Launcells,Bude,EX23 9LQ,,,,,,,,LEP (Liquid Egg Plant),,,,,,Section: X (LEP),,,Cornwall,England
CQ 558,River Amble Creamery,Treswarrow Cottage,,Port Isaac,Cornwall,PL29 3TW,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 559,River Amble Creamery,Duchy College,Stoke Climsland,,Callington,PL29 3TW,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 560,Seafood Training Limited,Unit 4E,Trecerus Industrial Estate,,Padstow,PL28 8RW,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 601,Ginsters,81 Tavistock Road,,,Callington,PL17 7XG,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 605,Cornish Cheese Company,Knowle Farm,Upton Cross,,Liskeard,PL14 5BG,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 608,Tamblyn's Finest Meats,,,,Saltash,,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 610,Chapel Bakery ,Unit 5,Miller Business Park,,Liskeard,PL14 4DA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 611,Stonegate Farmers Ltd,Horizon Farm,Tremar,,Liskeard,PL14 6EA,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 612,STC Cornwall Ltd,Horizon Farm,Tremar,,Liskeard,PL14 6EA,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 613,Iceberg Ltd,Trevol Business Park,Trevol Road,,Torpoint,PL11 2TB,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Cornwall,England
CQ 615,Nevek,Saxons,Higher Tremarcoombe,,Liskeard,PL14 5HS,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 618,Thistledown,Viverdon,St Mellion,,Saltash,PL12 6RU,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 620,Westcountry Bakery Ltd,Unit 18 & 19 Trevol Business Park,,,Torpoint,PL11 2TB,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 621,Blakes the Master Bakers,6 Dean Street,,,Liskeard,PL14 4AA,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 622,Palfrey's Bakery,Fore Street,East Looe,,Looe,PL13 1AD,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cornwall,England
CQ 624,Pennant Pony Sanctuary,Higher Pennant Farm,Lanlivery,,Bodmin,PL30 5DD,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 625,Penter's Produce,Woodsaws Cross,,,Looe,PL13 2NT,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 626,Cornish Gouda Company,Talvan Farm  ,,,Lanreath,PL13 2PA,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 627,Tamar Foods,83 Tavistock Road,,,Callington,PL17 7TA,,,MP (Meat Preparation Establishment),PP (Processing Plant),,,,,,,,,,"Section: V (MP), Section: VI (PP)",,,Cornwall,England
CQ 629,DA & CM Rice,Higher Tredis Farm,,,Torpoint,PL11 3ER,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 630,Davey's Cracking Good Eggs,Penquiet Park,Trerulefoot,,Saltash,PL12 5BN,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 632,Country Lane Foods Ltd,Newlands Farm,Pensilva Ind Estate,,Pensilva,PL14 5RE,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cornwall,England
CQ 634,Pomarkyn Goats,Pensilva,,,Liskeard,PL14 5RQ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cornwall,England
CQ 635,Let The Eat,Unit 6 Enterprise Park Forge Lane,Moorlands Trading Estate,,Saltash,PL12 6LX,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 638,Trehill Gluten Free Sausage Meat,Trehill Farm,St Dominick,,Saltash,PL12 6SQ,,,MP (Meat Preparation Establishment),,,,,,,,,,,Section: V (MP),,,Cornwall,England
CQ 701,Nippers Shellfish (Looe),Unit 2 ,Granite Quay,,East Looe,PL13 1DX,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 702,Nippers Shellfish Looe ,Unit 6,The Quay,,East Looe,PL13 1DX,,,,,DC (Dispatch Centre),PP (Processing Plant),,,,,,,,"Section: VII (DC), Section: VIII (PP)",,,Cornwall,England
CQ 703,Fowey River Oysters,No. 3 Jetty,Fowey Docks,,Fowey,PL23 1AL,,,,,"DC (Dispatch Centre), PC (Purification Centre)",,,,,,,,,"Section: VII (DC), Section: VII (PC)",,,Cornwall,England
CQ 704,Simply Fish,Unit 6,The Quay,,East Looe,PL13 1DX,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 705,Polperro Fish Company Ltd,Warren House,The Warren,Polperro,Looe,PL13 2RB,,,,,DC (Dispatch Centre),,,,,,,,,Section: VII (DC),,,Cornwall,England
CQ 706,Looe Fish Market ,Buller Quay,Looe Harbour,,East Looe,PL13 1DX,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 707,Bluesail Fish Company,Unit 2,Buller Quay,Looe Harbour,East Looe,PL13 1DX,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 708,West Country Mussels of Fowey Ltd,39 Langurtho Road, Fowey Docks,,Fowey,PL23 1DH,,,,,PC (Purification Centre),,,,,,,,,Section: VII (PC),,,Cornwall,England
CQ 709,Ocean Harvest,Unit 1 ,Buller Quay,Looe Harbour,East Looe,PL13 1DX,,,,,DC (Dispatch Centre),PP (Processing Plant),,,,,,,,"Section: VII (DC), Section: VIII (PP)",,,Cornwall,England
CQ 710,Fal Oyster Ltd (T/A Cornish Native Oysters),Mylor Harbour,,,Falmouth,TR11 5UF,,,,,PC (Purification Centre),,,,,,,,,Section: VII (PC),,,Cornwall,England
CQ 711,The Cornish Shellfish Co.Ltd,Lower Quay,,,Gweek,TR12 6UD,,,,,PC (Purification Centre),,,,,,,,,Section: VII (PC),,,Cornwall,England
CQ 716,The Falmouth Oyster Company,Unit 46B ,Parkengue,Kernick,Penryn,TR10 9EP,,,,,PC (Purification Centre),,,,,,,,,Section: VII (PC),,,Cornwall,England
CQ 717,Falfish Ltd,Western Wharf,Falmouth Docks,,Falmouth,TR11 4NJ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 719,Kernow Shellfish,Restongruet Barton farm,Mylor ,,Falmouth,TR11 5SP,,,,,PC (Purification Centre),,,,,,,,,Section: VII (PC),,,Cornwall,England
CQ 721,The Wild Oyster Company,Unit 5C,Lanhay Workshops,Lanhay,St Just in Roseland,TR25ER,,,,,"PC (Purification Centre), DC (Dispatch Centre)",,,,,,,,,"Section: VII (PC), Section: VII (DC)",,,Cornwall,England
CQ 723,Simply From The Sea,29 Moorland Road,,,Par,PL24 2PB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall,England
CQ 724,Wild Harbour Fish Company,Unit 22,East Quay,,Hayle,TR274QZ,,,,,"PC (Purification Centre), DC (Dispatch Centre)",,,,,,,,,"Section: VII (PC), Section: VII (DC)",,,Cornwall,England
QQ 007,F/V Espemar Dos A16740,L & J Management Office 3,Anchor Quay,,Penryn,TR10 8GZ,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 008,Baffin Bay,South Atlantic Squid (UK) Ltd ,The Docks,,Milford Haven,SA73 3AA,,,,,,FV (Factory Vessel),,,,,,,,Section: VIII (FV),,,Cornwall Port Health Authority,England
QQ 009,Feitizo,L & J Management Office 3,Anchor Quay,,Penryn,TR10 8GZ,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 010,Armaven Uno FV,Armaven UK Ltd,The Docks,,Milford Haven,SA73 3AA,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 013,F/V Mar Blanco,Ocean Blue Quota Company,48-50 Broad Street,,Peterhead,AB42 1BX,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 017,Eder Sands,L & J Management Office 3,Anchor Quay,,Penryn,TR10 8GZ,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 023,F/V Tahume,Ocean Blue Quota Company,48-50 Broad Street,,Peterhead,AB42 1BX,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 026,Basonas Limited,15 Duncan Terrace,,,London,N1 8BZ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cornwall Port Health Authority,England
QQ 029,Brisan,Basonas Ltd,Poligono de Xaras,Carretera Riviera, Bajo 1C 15969,"La Coruna, Spain",,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 032,F/V Piedras,Ocean Blue Quota Company,48-50 Broad Street,,Peterhead,AB42 1BX,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 033,F/V Mar De Bens,Ocean Blue Quota Company,48-50 Broad Street,,Peterhead,AB42 1BX,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 043,F/V Udra,Ocean Blue Quota Company,48-50 Broad Street,,Peterhead,AB42 1BX,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 045,F / V Sanamedio,Ocean Blue Quota Company,48-50 Broad Street,,Peterhead,AB42 1BX,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
QQ 048,F/V Patricia Marta,L & J Management Office 3,Anchor Quay,,Penryn,TR10 8GZ,,,,,,ZV (Freezer Vessel),,,,,,,,Section: VIII (ZV),,,Cornwall Port Health Authority,England
GL 001,The Coln Valley Fish & Game Co Ltd,Far Peak,,,Northleach,GL54 3JL,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cotswold District,England
GL 003,Bibury Trout Farm,Arlington,Bilbury,,Cirencester,GL7 5NL,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cotswold District,England
GL 004,Woodlands Farm (Chedworth) ltd,Chedworth,,,Cheltenham,GL54 4NT,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 006,Cerney Cheese,Chapel Farm,North Cerney,,Cirencester,GL7 7DE,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 009,Willersey Provisions Ltd,Collin Lane,,,Willersey,WR12 7PE,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,Cotswold District,England
GL 014,Holmleigh Farm,Donnington,,,Moreton in Marsh,GL56 0XX,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 019 ,M & J Seafoods Ltd,Unit 2 Elliott Road,,,Cirencester,GL7 1YS,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Cotswold District,England
GL 021,Daylesford Organic Farms Ltd,New Farm Daylesford,,,Moreton in Marsh,GL56 0YG,,,,,,,PP (Processing Plant),EPC (Packing Centre),,,,,,"Section: IX (PP), Section: X (EPC)",,,Cotswold District,England
GL 022,Simple Suppers Ltd ,Battledene Farm,Ebrington,,Chipping Camden,GL55 6LF,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",PP (Processing Plant),,,,,,,,,,"Section: V (MM), Section: V (MP), Section: VI (PP)",,,Cotswold District,England
GL 023,Turnstone Farming Company Ltd,Greenfield Farm,Evesham Road,Stow-on-the-Wold,Cheltenham,GL54 2JS,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 024,Windrush Valley Goat Dairy,,,,Windrush,OX18 4TT,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 025,Upton Smokery Ltd,Upton Downs Farm,,,Burford,OX18 4LY,,,,PP (Processing Plant),,PP (Processing Plant),,,,,,,,"Section: VI (PP), Section: VIII (PP)",,,Cotswold District,England
GL 029,New Wave Seafoods,Unit 6,Horcott Industrial Estate,Horcott Road,Fairford,GL7 4BX,,,,,DC (Dispatch Centre),PP (Processing Plant),,,,,,,,"Section: VII (DC), Section: VIII (PP)",,,Cotswold District,England
GL 030,Abbey Home Farm,Preston Field Barn,Stow Road,,Cirencester,GL7 5HA,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 031,Paxton and Whitfield,Unit 6 Willow Court,Bourton Industrial Park,,Bourton on the Water,GL54 2HQ,,,,,,,PP (Processing Plant),,,,,,,Section: IX (PP),,,Cotswold District,England
GL 033,Charingworth Eggs,Stow Hill Barn Farm,Dog Lane,Charingworth,Ebrington,GL55 6XY,,,,,,,,EPC (Packing Centre),,,,,,Section: X (EPC),,,Cotswold District,England
GL 034,FG Foods Ltd,Unit 9 Draycott Business Village,Draycott ,Blockley,Moreton-in-Marsh,GL56 9JY,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Cotswold District,England
